Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,LOP
2013-10-31,2890.5,3068.5,2879.5,3058.5
2013-11-29,3060.5,3101.5,2992.5,3081.5
2013-12-31,3084.5,3116.5,2910.5,3112.5
2014-01-31,3124.5,3177.5,2964,3008.5
2014-02-28,3004.5,3163.5,2933.5,3131.5
2014-03-31,3097.5,3158.5,2934,3098.5
2014-04-30,3103.5,3174.5,3011.5,3150.5
2014-05-30,3149.5,3251.5,3090.5,3248.5
2014-06-30,3251.5,3321.5,3207.5,3226.5
2014-07-31,3231.5,3290.5,3103.5,3104.5
2014-08-29,3115.5,3203.5,2973.5,3175.5
2014-09-30,3177.5,3292.5,3156.5,3203.5
2014-10-31,3200.5,3226.5,2776.5,3107.5
2014-11-28,3104,3250.5,3017.5,3238.5
2014-12-31,3228.5,3281.5,2913.5,3127.5
2015-01-30,3136.5,3429.5,2981.5,3336.5
2015-02-27,3346.5,3598.5,3321.5,3587.5
2015-03-31,3593.5,3679.5,3533.5,3619.5
2015-04-30,3605.5,3768.5,3521.5,3543.5
2015-05-29,3573.5,3683.5,3441.5,3570.5
2015-06-30,3588.5,3649.5,3368.5,3434.5
2015-07-31,3451.5,3713.5,3280.5,3599.5
2015-08-31,3591.5,3687.5,2958.5,3263.5
2015-09-30,3186,3328,2972.5,3096.5
2015-10-30,3135,3448.5,3026.5,3402.5
2015-11-30,3385,3524.5,3298,3497.5
2015-12-31,3516.5,3523.5,3124.5,3269.5
2016-01-29,3209.5,3213.5,2832.5,3054.5
2016-02-29,3056.5,3057,2671.5,2915.5
2016-03-31,2922,3129.5,2907,2924
2016-04-29,2903,3094,2776,2980.5
2016-05-31,2981,3089,2856,3055
2016-06-30,3052,3057,2646.5,2878
2016-07-29,2877.5,3014,2736,2989
2016-08-31,3028,3065,2889,3025
2016-09-30,3030,3102,2911,2992
2016-10-31,2989,3102,2944.5,3053
2016-11-30,3069,3100,2884.5,3045
2016-12-30,3041,3286,2975,3270
2017-01-31,3263,3336,3224,3239
2017-02-28,3255,3354,3211,3317
2017-03-31,3327,3442,3310,3429
2017-04-28,3433,3530,3326,3497
2017-05-31,3501,3644,3501,3549
2017-06-30,3556,3610,3428,3448
2017-07-31,3460,3534,3425,3447,12198924,3501552
2017-08-31,3452,3523,3361,3424,19001972,3591001
2017-09-29,3426,3585,3394,3576,26331628,3380912
2017-10-31,3586,3609,3573,3599,4780710
